,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,within an hour,0.81,0.99,0.0,6.0,6.0,1.0,1.0,East,40.68065,-74.10504,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,143.0,1,182,1,1,1125,1125,1.0,1125.0,1,2,14,42,42,60,32,2,4.68,4.73,4.85,4.85,4.78,4.73,4.65,1,2,2,0,0,3.81
1,within an hour,1.0,0.96,1.0,0.0,0.0,0.0,1.0,South,40.7314,-74.2227,Entire rental unit,Entire home/apt,4,2.5 baths,1.0,2.0,121.0,2,1125,2,2,1125,1125,2.0,1125.0,1,22,27,33,202,7,7,1,4.43,4.29,4.43,4.29,4.29,3.43,4.43,1,2,2,0,0,1.57
2,within a few hours,1.0,0.67,0.0,1.0,1.0,1.0,0.0,North,40.77146,-74.17054,Private room in home,Private room,1,1 bath,1.0,1.0,70.0,2,120,2,2,120,120,2.0,120.0,1,5,24,54,329,73,4,0,4.86,4.94,4.83,4.9,4.92,4.72,4.86,0,1,0,1,0,0.53
3,within an hour,1.0,0.33,1.0,6.0,6.0,1.0,1.0,South,40.7052,-74.20617,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,58.0,7,90,7,7,90,90,7.0,90.0,1,0,0,0,89,9,0,0,5.0,4.78,4.44,4.89,4.89,4.78,4.78,0,1,1,0,0,0.16
4,within an hour,1.0,1.0,1.0,6.0,6.0,1.0,1.0,West,40.74462,-74.19848,Private room in home,Private room,2,1 shared bath,1.0,1.0,47.0,6,300,6,6,1125,1125,6.0,1125.0,1,4,34,64,339,80,4,0,4.68,4.84,4.65,4.95,4.9,3.95,4.71,1,5,0,5,0,0.81
5,within an hour,1.0,1.0,1.0,6.0,6.0,1.0,1.0,West,40.74478,-74.19575,Private room in home,Private room,1,1 shared bath,1.0,1.0,80.0,10,1125,10,10,1125,1125,10.0,1125.0,1,2,32,62,337,95,6,0,4.86,4.9,4.91,4.95,4.93,4.18,4.75,1,5,0,5,0,0.95
6,within a few hours,1.0,1.0,0.0,4.0,4.0,1.0,1.0,West,40.73473,-74.24575,Private room in home,Private room,2,1 private bath,1.0,1.0,65.0,3,1125,3,3,1125,1125,3.0,1125.0,1,16,46,76,351,52,7,1,4.69,4.81,4.79,4.88,4.85,4.56,4.73,0,4,1,3,0,0.53
7,within a few hours,1.0,1.0,0.0,4.0,4.0,1.0,1.0,West,40.73471,-74.24787,Private room in home,Private room,2,1 shared bath,1.0,1.0,55.0,3,1125,3,3,1125,1125,3.0,1125.0,1,7,27,57,332,43,7,1,4.72,4.95,4.86,4.91,4.95,4.6,4.79,0,4,1,3,0,0.43
8,within a few hours,1.0,1.0,0.0,4.0,4.0,1.0,1.0,West,40.73409,-74.24743,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,99.0,5,1125,5,5,1125,1125,5.0,1125.0,1,0,28,58,333,56,6,0,4.5,4.54,4.64,4.68,4.73,4.48,4.54,0,4,1,3,0,0.57
9,within an hour,1.0,1.0,1.0,6.0,6.0,1.0,1.0,West,40.74481,-74.19753,Private room in home,Private room,2,1 private bath,1.0,1.0,101.0,5,300,5,5,1125,1125,5.0,1125.0,1,27,57,87,361,103,13,1,4.79,4.91,4.88,4.96,4.91,3.89,4.71,1,5,0,5,0,1.09
